站點,可借,可還,更新時間
YouBike2.0_海山高中,0,19,20220211160304
YouBike2.0_康寧街141巷口,8,7,20220211163112
YouBike2.0_學成大義路口(學成路一),9,4,20220211164036
YouBike2.0_新北市客家文化園區,6,11,20220211162813
YouBike2.0_龍恩公園,3,12,20220211163613
YouBike2.0_龍埔公園,0,5,20220211162104
YouBike2.0_深坑雲鄉路,3,3,20220211115912
YouBike2.0_麗林公有市場,1,5,20220211164204
YouBike2.0_三鶯國民運動中心,2,15,20220211162416
YouBike2.0_臺北大學(音律資訊大樓),5,15,20220211163213
YouBike2.0_大眾廟,2,6,20220211161531
YouBike2.0_昌平公園,10,3,20220211160814
YouBike2.0_捷運丹鳳站(1號出口),7,0,20220211163405
YouBike2.0_新莊勞工中心,2,3,20220211075214
YouBike2.0_捷運泰山站,0,10,20220211152104
YouBike2.0_頭湖國小,4,2,20220211141554
YouBike2.0_新麗園社區,5,5,20220211164314
YouBike2.0_林口社區運動公園,1,9,20220211163913
YouBike2.0_林口社區運動公園(公園路),4,6,20220211163529
YouBike2.0_安溪國中,6,3,20220211160413
YouBike2.0_龍埔國小,4,6,20220211163913
YouBike2.0_臺北大學體育館,0,22,20220211163047
YouBike2.0_林口自強公園,3,3,20220211162614
YouBike2.0_林口國小,4,2,20220211163529
YouBike2.0_大崙公園,2,3,20220211164314
YouBike2.0_瓊林南路101巷口,4,8,20220211163813
YouBike2.0_泰山國小,3,5,20220211152413
YouBike2.0_同興公園,1,7,20220211161531
YouBike2.0_台北花園廣場社區,0,8,20220211075904
YouBike2.0_縣民民族路口,1,11,20220211164314
YouBike2.0_御史路1巷,2,4,20220211161113
YouBike2.0_成泰路4段22巷,0,6,20220211162517
YouBike2.0_復興民生街口,4,4,20220211163913
YouBike2.0_三峽國中,0,8,20220211155904
YouBike2.0_西盛館,2,7,20220211163813
YouBike2.0_西盛公園,3,5,20220211164314
YouBike2.0_林口區公所,5,1,20220211164036
YouBike2.0_崇林國中,3,4,20220211164314
YouBike2.0_十三行博物館,4,6,20220211163213
YouBike2.0_凌雲路一段158巷口,2,7,20220211153714
YouBike2.0_德泰公園,2,11,20220211163213
YouBike2.0_陸光國宅,1,5,20220210190813
YouBike2.0_成泰路一段(中油),1,5,20220211162526
YouBike2.0_三峽區公所(三峽老街),2,3,20220211164314
YouBike2.0_中園國小,4,2,20220211164314
YouBike2.0_三峽區礁溪行政中心,1,7,20220211164314
YouBike2.0_貿商國宅,2,3,20220211162913
